Ticker symbol,Security,GICS Sector,GICS Sub Industry,Location,Date first added[3][4],Founded
A,Agilent Technologies Inc,Health Care,Health Care Equipment,"Santa Clara, California",6/5/2000,1999
AAL,American Airlines Group,Industrials,Airlines,"Fort Worth, Texas",3/23/2015,1934
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,"Roanoke, Virginia",7/9/2015,1932
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",11/30/1982,1977
ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,"North Chicago, Illinois",12/31/2012,2013 (1888)
ABC,AmerisourceBergen Corp,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",8/30/2001,1985
ABMD,ABIOMED Inc,Health Care,Health Care Equipment,"Danvers, Massachusetts",5/31/2018,1981
ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",3/31/1964,1888
ACN,Accenture plc,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",7/6/2011,1989
ADBE,Adobe Systems Inc,Information Technology,Application Software,"San Jose, California",5/5/1997,1982
ADI,"Analog Devices, Inc.",Information Technology,Semiconductors,"Norwood, Massachusetts",10/12/1999,1965
ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,"Decatur, Illinois",7/29/1981,1902
ADP,Automatic Data Processing,Information Technology,Internet Software & Services,"Roseland, New Jersey",3/31/1981,
ADS,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",12/23/2013,1996
ADSK,Autodesk Inc.,Information Technology,Application Software,"San Rafael, California",12/1/1989,
AEE,Ameren Corp,Utilities,Multi-Utilities,"St. Louis, Missouri",9/19/1991,1902
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",,1906
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",10/2/1998,1981
AET,Aetna Inc,Health Care,Managed Health Care,"Hartford, Connecticut",6/30/1976,1810
AFL,AFLAC Inc,Financials,Life & Health Insurance,"Columbus, Georgia",5/28/1999,1955
AGN,"Allergan, Plc",Health Care,Pharmaceuticals,"Dublin, Ireland",4/12/1999,1983
AIG,"American International Group, Inc.",Financials,Property & Casualty Insurance,"New York, New York",3/31/1980,1919
AIV,Apartment Investment & Management (Aimco),Real Estate,Residential REITs,"Denver, Colorado",3/14/2003,1994 (1975)
AIZ,Assurant Inc.,Financials,Multi-line Insurance,"New York, New York",4/10/2007,
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Itasca, Illinois",5/31/2016,
AKAM,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",7/12/2007,1998
ALB,Albemarle Corp,Materials,Specialty Chemicals,"Baton Rouge, Louisiana",7/1/2016,1994
ALGN,Align Technology,Health Care,Health Care Supplies,"San Jose, California",6/19/2017,1997
ALK,Alaska Air Group Inc,Industrials,Airlines,"Seattle, Washington",5/13/2016,1985
ALL,Allstate Corp,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",7/13/1995,1931
ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",12/2/2013,1908
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,"Cheshire, Connecticut",5/25/2012,1992
AMAT,Applied Materials Inc.,Information Technology,Semiconductor Equipment,"Santa Clara, California",3/16/1995,1967
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,"Sunnyvale, California",3/20/2017,1969
AME,AMETEK Inc.,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",9/23/2013,1930
AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks,"Beverly, Massachusetts",7/1/2014,1993
AMGN,Amgen Inc.,Health Care,Biotechnology,"Thousand Oaks, California",1/2/1992,1980
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",10/3/2005,1894
AMT,American Tower Corp.,Real Estate,Specialized REITs,"Boston, Massachusetts",11/19/2007,1995
AMZN,Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",11/18/2005,1994
ANET,Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California",8/28/2018,2004
ANSS,ANSYS,Information Technology,Application Software,"Canonsburg, Pennsylvania",6/19/2017,1969
ANTM,Anthem Inc.,Health Care,Managed Health Care,"Indianapolis, Indiana",7/25/2002,2014 (1940s)
AON,Aon plc,Financials,Insurance Brokers,"London, United Kingdom",4/23/1996,1982 (1919)
AOS,A.O. Smith Corp,Industrials,Building Products,"Milwaukee, Wisconsin",7/26/2017,1916
APA,Apache Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",7/28/1997,1954
APC,Anadarko Petroleum Corp,Energy,Oil & Gas Exploration & Production,"The Woodlands, Texas",7/28/1997,1959
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,"Allentown, Pennsylvania",4/30/1985,1940
APH,Amphenol Corp,Information Technology,Electronic Components,"Wallingford, Connecticut",9/30/2008,1932
APTV,Aptiv Plc,Consumer Discretionary,Auto Parts & Equipment,"Gillingham, Kent, United Kingdom",12/24/2012,1994
ARE,Alexandria Real Estate Equities Inc,Real Estate,Office REITs,"Pasadena, California",3/20/2017,1994
ARNC,Arconic Inc.,Industrials,Aerospace & Defense,"New York, New York",3/31/1964,2016
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,"Santa Monica, California",8/31/2015,2008
AVB,"AvalonBay Communities, Inc.",Real Estate,Residential REITs,"Arlington, Virginia[5]",1/10/2007,
AVGO,Broadcom,Information Technology,Semiconductors,"San Jose, California",5/8/2014,
AVY,Avery Dennison Corp,Materials,Paper Packaging,"Glendale, California",12/31/1987,
AWK,American Water Works Company Inc,Utilities,Water Utilities,"Voorhees, New Jersey",3/4/2016,1886
AXP,American Express Co,Financials,Consumer Finance,"New York, New York",6/30/1976,1850
AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",1/2/1997,
BA,Boeing Company,Industrials,Aerospace & Defense,"Chicago, Illinois",,1916
BAC,Bank of America Corp,Financials,Diversified Banks,"Charlotte, North Carolina",6/30/1976,
BAX,Baxter International Inc.,Health Care,Health Care Equipment,"Deerfield, Illinois",9/30/1972,1931
BBT,BB&T Corporation,Financials,Regional Banks,"Winston-Salem, North Carolina",12/4/1997,
BBY,Best Buy Co. Inc.,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",6/29/1999,
BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",9/30/1972,1897
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,"San Mateo, California",,1947
BF.B,Brown-Forman Corp.,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",10/31/1982,
BHF,Brighthouse Financial Inc,Financials,Life & Health Insurance,"Charlotte, North Carolina",8/8/2017,
BHGE,"Baker Hughes, a GE Company",Energy,Oil & Gas Equipment & Services,"Houston, Texas",,2017
BIIB,Biogen Inc.,Health Care,Biotechnology,"Weston, Massachusetts",11/13/2003,
BK,The Bank of New York Mellon Corp.,Financials,Asset Management & Custody Banks,"New York, New York",3/31/1995,
BKNG,Booking Holdings Inc,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",11/6/2009,
BLK,BlackRock,Financials,Asset Management & Custody Banks,"New York, New York",4/4/2011,
BLL,Ball Corp,Materials,Metal & Glass Containers,"Broomfield, Colorado",10/31/1984,
BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors,"New York, New York",,1989
BR,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services,"Lake Success, New York",6/18/2018,1962
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2/16/2010,
BSX,Boston Scientific,Health Care,Health Care Equipment,"Marlborough, Massachusetts[6]",2/24/1995,
BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",12/19/2011,
BXP,Boston Properties,Real Estate,Office REITs,"Boston, Massachusetts",4/3/2006,
C,Citigroup Inc.,Financials,Diversified Banks,"New York, New York",5/31/1988,
CA,"CA, Inc.",Information Technology,Systems Software,"Islandia, New York",7/31/1987,
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",8/31/1983,
CAH,Cardinal Health Inc.,Health Care,Health Care Distributors,"Dublin, Ohio",5/27/1997,
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Trucks,"Peoria, Illinois",,1925
CB,Chubb Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland",7/15/2010,
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,"Chicago, Illinois",3/1/2017,
CBRE,CBRE Group,Real Estate,Real Estate Services,"Los Angeles, California",11/10/2006,
CBS,CBS Corp.,Communication Services,Broadcasting,"New York, New York",9/1/1994,
CCI,Crown Castle International Corp.,Real Estate,Specialized REITs,"Houston, Texas",3/14/2012,
CCL,Carnival Corp.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",12/22/1998,
CDNS,Cadence Design Systems,Information Technology,Application Software,"San Jose, California",9/18/2017,
CELG,Celgene Corp.,Health Care,Biotechnology,"Summit, New Jersey",11/6/2006,
CERN,Cerner,Health Care,Health Care Technology,"North Kansas City, Missouri",4/30/2010,
CF,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",8/27/2008,
CFG,Citizens Financial Group,Financials,Regional Banks,"Providence, Rhode Island",1/29/2016,
CHD,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",12/29/2015,
CHRW,C. H. Robinson Worldwide,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",3/2/2007,
CHTR,Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut",9/8/2016,
CI,CIGNA Corp.,Health Care,Managed Health Care,"Bloomfield, Connecticut",6/30/1976,
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",12/18/1997,
CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York, New York",,1806
CLX,The Clorox Company,Consumer Staples,Household Products,"Oakland, California",3/31/1969,1913
CMA,Comerica Inc.,Financials,Diversified Banks,"Dallas, Texas",12/1/1995,
CMCSA,Comcast Corp.,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",9/18/2015,
CME,CME Group Inc.,Financials,Financial Exchanges & Data,"Chicago, Illinois",8/11/2006,
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Denver, Colorado",4/28/2011,
CMI,Cummins Inc.,Industrials,Industrial Machinery,"Columbus, Indiana",3/31/1965,1919
CMS,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan",5/3/1999,
CNC,Centene Corporation,Health Care,Managed Health Care,"St Louis, Missouri",3/30/2016,
CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",7/31/1985,
COF,Capital One Financial,Financials,Consumer Finance,"Tysons Corner, Virginia",7/1/1998,1935
COG,Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production,"Houston, Texas",6/23/2008,
COL,Rockwell Collins,Industrials,Aerospace & Defense,"Cedar Rapids, Iowa",7/2/2001,
COO,The Cooper Companies,Health Care,Health Care Supplies,"Pleasanton, California",9/23/2016,
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",,2002
COST,Costco Wholesale Corp.,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",10/1/1993,
COTY,"Coty, Inc",Consumer Staples,Personal Products,"New York, New York",10/3/2016,
